"Step","use_labels: False; LR: 0.001; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","use_labels: False; LR: 0.001; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","use_labels: False; LR: 0.001; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.001; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.001; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.001; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.05; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.05; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.05; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.05; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.05; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.05; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.01; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.01; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.01; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.001; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.001; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.001; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.01; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.01; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.01; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.05; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.05; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.05; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.01; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.01; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.01; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX"
"56","56.78","56.78","56.78","57.33","57.33","57.33","43.69","43.69","43.69","43.91","43.91","43.91","61.64","61.64","61.64","56.98","56.98","56.98","61.68","61.68","61.68","40.33","40.33","40.33","58.71","58.71","58.71"
"57","57","57","57","57.6","57.6","57.6","42.37","42.37","42.37","44.2","44.2","44.2","60.35","60.35","60.35","56.55","56.55","56.55","61.03","61.03","61.03","41.75","41.75","41.75","61.42","61.42","61.42"
"58","57.2","57.2","57.2","57.44","57.44","57.44","40.98","40.98","40.98","41.17","41.17","41.17","61.48","61.48","61.48","57.27","57.27","57.27","60.46","60.46","60.46","40.83","40.83","40.83","61.02","61.02","61.02"
"59","57.01","57.01","57.01","57.95","57.95","57.95","43.16","43.16","43.16","39.69","39.69","39.69","61.29","61.29","61.29","57.71","57.71","57.71","61","61","61","42.38","42.38","42.38","61.01","61.01","61.01"
"60","56.41","56.41","56.41","57.51","57.51","57.51","38.98","38.98","38.98","43.45","43.45","43.45","62.81","62.81","62.81","57.33","57.33","57.33","59.67","59.67","59.67","44.74","44.74","44.74","60.86","60.86","60.86"
"61","56.8","56.8","56.8","57.73","57.73","57.73","42.81","42.81","42.81","39.39","39.39","39.39","60.62","60.62","60.62","58.03","58.03","58.03","61.79","61.79","61.79","40.14","40.14","40.14","61.22","61.22","61.22"
"62","56.82","56.82","56.82","58.09","58.09","58.09","39.66","39.66","39.66","43.64","43.64","43.64","62.39","62.39","62.39","57.67","57.67","57.67","59.86","59.86","59.86","41.34","41.34","41.34","61.13","61.13","61.13"
"63","57.07","57.07","57.07","58.08","58.08","58.08","42.35","42.35","42.35","41.74","41.74","41.74","62.09","62.09","62.09","57.82","57.82","57.82","60.52","60.52","60.52","42.1","42.1","42.1","60.58","60.58","60.58"
"64","57.01","57.01","57.01","58","58","58","39.74","39.74","39.74","41.15","41.15","41.15","61.46","61.46","61.46","57.92","57.92","57.92","62","62","62","40.76","40.76","40.76","60.25","60.25","60.25"
"65","57.41","57.41","57.41","58.04","58.04","58.04","41.56","41.56","41.56","41.73","41.73","41.73","62.69","62.69","62.69","58.21","58.21","58.21","61.43","61.43","61.43","42.47","42.47","42.47","60.58","60.58","60.58"
"66","57.17","57.17","57.17","57.34","57.34","57.34","38.51","38.51","38.51","42.54","42.54","42.54","62.6","62.6","62.6","57.93","57.93","57.93","61.7","61.7","61.7","41.74","41.74","41.74","60.51","60.51","60.51"
"67","57.95","57.95","57.95","57.37","57.37","57.37","43.82","43.82","43.82","41.46","41.46","41.46","61.27","61.27","61.27","58.04","58.04","58.04","61.78","61.78","61.78","42.75","42.75","42.75","60.99","60.99","60.99"
